I	J	K	well
66	64	26	KC17038
66	64	27	KC17038
72	69	30	KC17040
72	69	31	KC17040
77	75	33	KC17042
77	75	34	KC17042
83	80	32	KC17044
83	80	33	KC17044
88	86	33	KC17046
88	86	34	KC17046
72	59	28	KC17438
72	59	29	KC17438
77	64	30	KC17440
77	64	31	KC17440
83	69	32	KC17442
83	69	33	KC17442
88	75	32	KC17444
88	75	33	KC17444
93	80	31	KC17446
93	80	32	KC17446
77	53	30	KC17838
77	53	31	KC17838
83	58	31	KC17840
83	58	32	KC17840
88	64	31	KC17842
88	64	32	KC17842
93	69	32	KC17844
93	69	33	KC17844
99	75	31	KC17846
99	75	32	KC17846
83	48	31	KC18238
83	48	32	KC18238
88	53	31	KC18240
88	53	32	KC18240
93	58	31	KC18242
93	58	32	KC18242
99	64	32	KC18244
99	64	33	KC18244
104	69	32	KC18246
104	69	33	KC18246
