I	J	K	well
61	64	27	KZ16838
61	64	28	KZ16838
88	91	31	KZ16848
88	91	32	KZ16848
83	42	29	KZ18438
83	42	30	KZ18438
110	69	30	KZ18448
110	69	31	KZ18448
66	69	27	KZ16840
66	69	28	KZ16840
72	75	30	KZ16842
72	75	31	KZ16842
77	80	31	KZ16844
77	80	32	KZ16844
83	86	31	KZ16846
83	86	32	KZ16846
66	58	27	KZ17238
66	58	28	KZ17238
93	86	29	KZ17248
93	86	30	KZ17248
72	53	28	KZ17638
72	53	29	KZ17638
99	80	29	KZ17648
99	80	30	KZ17648
77	48	29	KZ18038
77	48	30	KZ18038
104	75	30	KZ18048
104	75	31	KZ18048
88	48	29	KZ18440
88	48	30	KZ18440
93	53	30	KZ18442
93	53	31	KZ18442
99	58	30	KZ18444
99	58	31	KZ18444
104	64	30	KZ18446
104	64	31	KZ18446
72	64	27	KZ17240
72	64	28	KZ17240
77	69	31	KZ17242
77	69	32	KZ17242
83	75	31	KZ17244
83	75	32	KZ17244
88	80	30	KZ17246
88	80	31	KZ17246
77	58	28	KZ17640
77	58	29	KZ17640
83	64	30	KZ17642
83	64	31	KZ17642
88	69	30	KZ17644
88	69	31	KZ17644
93	75	30	KZ17646
93	75	31	KZ17646
83	53	29	KZ18040
83	53	30	KZ18040
88	58	29	KZ18042
88	58	30	KZ18042
93	64	30	KZ18044
93	64	31	KZ18044
99	69	30	KZ18046
99	69	31	KZ18046
